ID,Drug
ID,IDs
P45059,DB00303
P19113,DB00117
Q9UI32,DB00142
P00488,DB11311
P00488,DB13151
P35228,DB00125
P35228,DB00155
P35228,DB01110
P35228,DB01234
P35228,DB08814
P37059,DB00783
P06737,DB00131
P48728,DB00116
P50213,DB06757
P50213,DB09130
Q9P0X4,DB00568
Q9P0X4,DB00617
Q9P0X4,DB00661
Q9P0X4,DB00909
Q9P0X4,DB04841
P30542,DB00201
P30542,DB00277
P30542,DB00640
P30542,DB00651
P30542,DB00806
P30542,DB00824
P30542,DB00996
P30542,DB01223
P30542,DB01303
P30542,DB01412
P30542,DB04932
P00519,DB00619
P00519,DB01254
P00519,DB04868
P00519,DB06616
P00519,DB08896
P00519,DB08901
P12319,DB00043
P12319,DB00895
P00451,DB00055
P00451,DB00100
P00451,DB13151
P00451,DB13152
P23219,DB00154
P23219,DB00159
P23219,DB00244
P23219,DB00316
P23219,DB00328
P23219,DB00350
P23219,DB00461
P23219,DB00465
P23219,DB00469
P23219,DB00500
P23219,DB00554
P23219,DB00573
P23219,DB00586
P23219,DB00605
P23219,DB00711
P23219,DB00712
P23219,DB00749
P23219,DB00784
P23219,DB00788
P23219,DB00795
P23219,DB00812
P23219,DB00814
P23219,DB00821
P23219,DB00861
P23219,DB00870
P23219,DB00936
P23219,DB00939
P23219,DB00945
P23219,DB00963
P23219,DB00991
P23219,DB01009
P23219,DB01014
P23219,DB01050
P23219,DB01283
P23219,DB01397
P23219,DB01399
P23219,DB01401
P23219,DB01419
P23219,DB01435
P23219,DB01600
P23219,DB04552
P23219,DB06725
P23219,DB06736
P23219,DB06802
P23219,DB08814
P23219,DB09213
P0A7V8,DB00254
P0A7V8,DB00256
P0A7V8,DB00453
P0A7V8,DB00595
P0A7V8,DB00618
P0A7V8,DB01017
P21728,DB00246
P21728,DB00248
P21728,DB00268
P21728,DB00334
P21728,DB00353
P21728,DB00363
P21728,DB00397
P21728,DB00408
P21728,DB00413
P21728,DB00420
P21728,DB00477
P21728,DB00502
P21728,DB00508
P21728,DB00543
P21728,DB00589
P21728,DB00623
P21728,DB00714
P21728,DB00734
P21728,DB00777
P21728,DB00800
P21728,DB00805
P21728,DB00850
P21728,DB00875
P21728,DB00988
P21728,DB01049
P21728,DB01063
P21728,DB01186
P21728,DB01200
P21728,DB01224
P21728,DB01235
P21728,DB01238
P21728,DB01239
P21728,DB01267
P21728,DB01403
P21728,DB01608
P21728,DB01614
P21728,DB01621
P21728,DB01622
P21728,DB01623
P21728,DB01624
P21728,DB04946
P21728,DB05271
P21728,DB06216
P12461,DB01099
Q9BZW2,DB00139
P35916,DB00398
P35916,DB01268
P35916,DB06589
P35916,DB06626
P35916,DB08896
P35916,DB09078
P35916,DB09079
P51168,DB00384
P51168,DB00594
P02452,DB00048
Q9H4B7,DB00309
Q9H4B7,DB01229
Q9H4B7,DB01248
Q9H4B7,DB01394
Q9H4B7,DB06772
Q9H4B7,DB08871
O95363,DB00120
P17948,DB00398
P17948,DB01268
P17948,DB06589
P17948,DB06626
P17948,DB08896
P17948,DB09078
P17948,DB09079
Q9UPY5,DB00138
Q9UPY5,DB00142
Q9UPY5,DB00740
Q9UPY5,DB00795
Q9UPY5,DB06151
Q9BTZ2,DB00162
P06213,DB00030
P06213,DB00046
P06213,DB00047
P06213,DB00071
P06213,DB01277
P06213,DB01306
P06213,DB01307
P06213,DB01309
P06213,DB09129
P06213,DB09564
P9WNL9,DB00330
O60931,DB00138
P04049,DB00398
P04049,DB08896
P04049,DB08912
Q9Y285,DB00120
P29401,DB09130
Q9Y234,DB00166
P12259,DB00055
P12259,DB05777
P12259,DB13149
P12259,DB13151
O00764,DB00147
O00764,DB00165
P24530,DB00559
P24530,DB06268
P24530,DB06403
P24530,DB08932
P20309,DB00185
P20309,DB00193
P20309,DB00202
P20309,DB00246
P20309,DB00280
P20309,DB00321
P20309,DB00332
P20309,DB00334
P20309,DB00340
P20309,DB00363
P20309,DB00376
P20309,DB00383
P20309,DB00387
P20309,DB00408
P20309,DB00411
P20309,DB00420
P20309,DB00424
P20309,DB00434
P20309,DB00458
P20309,DB00462
P20309,DB00477
P20309,DB00496
P20309,DB00517
P20309,DB00540
P20309,DB00572
P20309,DB00599
P20309,DB00622
P20309,DB00715
P20309,DB00725
P20309,DB00729
P20309,DB00747
P20309,DB00777
P20309,DB00785
P20309,DB00809
P20309,DB00835
P20309,DB00934
P20309,DB00986
P20309,DB01019
P20309,DB01036
P20309,DB01062
P20309,DB01069
P20309,DB01085
P20309,DB01142
P20309,DB01151
P20309,DB01224
P20309,DB01226
P20309,DB01231
P20309,DB01238
P20309,DB01239
P20309,DB01337
P20309,DB01338
P20309,DB01403
P20309,DB01409
P20309,DB01591
P20309,DB01625
P20309,DB03128
P20309,DB04843
P20309,DB06702
P20309,DB06709
P20309,DB06787
P20309,DB08897
P20309,DB09076
P20309,DB09167
P20309,DB09262
P20309,DB09300
P20309,DB09357
P30613,DB00119
Q9H2X9,DB00761
Q9H2X9,DB00887
P00734,DB00001
P00734,DB00006
P00734,DB00055
P00734,DB00100
P00734,DB00170
P00734,DB00278
P00734,DB01123
P00734,DB01593
P00734,DB04786
P00734,DB04898
P00734,DB05777
P00734,DB06404
P00734,DB06695
P00734,DB09130
P00734,DB09228
P00734,DB11166
P00734,DB12598
P00734,DB13151
P00734,DB13152
P30273,DB00895
P13716,DB00855
P14060,DB00741
P14060,DB01108
O43246,DB00123
O43246,DB00125
O43246,DB00129
P9WNC7,DB00233
P48167,DB00145
P48167,DB00431
P61889,DB00336
P06818,DB00558
P06818,DB06614
P14780,DB00143
P14780,DB00786
P14780,DB01017
P14780,DB01197
P14780,DB01296
P14780,DB01593
P26439,DB01108
P13674,DB00126
P13674,DB00139
P13674,DB00172
P13674,DB01275
P21554,DB00470
P21554,DB00486
P21554,DB06155
P30556,DB00177
P30556,DB00275
P30556,DB00678
P30556,DB00796
P30556,DB00876
P30556,DB00966
P30556,DB01029
P30556,DB01349
P30556,DB08822
P30556,DB09279
P49591,DB00133
P34995,DB00297
P34995,DB00429
P34995,DB00770
P34995,DB00905
P34995,DB00917
P34995,DB01088
P34995,DB09211
P11836,DB00073
P11836,DB00078
P11836,DB00081
P11836,DB06650
P11836,DB08935
P11836,DB11988
P29475,DB00155
P29475,DB03147
P07195,DB09118
P24752,DB00795
Q07869,DB00132
Q07869,DB00159
Q07869,DB00313
Q07869,DB00328
Q07869,DB00412
Q07869,DB00573
Q07869,DB00636
Q07869,DB01039
Q07869,DB01050
Q07869,DB01132
Q07869,DB01241
Q07869,DB01393
Q07869,DB01708
Q07869,DB04224
Q07869,DB09006
Q07869,DB09422
Q07869,DB11133
Q07869,DB11605
Q07869,DB13873
Q9HCC0,DB00121
Q9UDR5,DB00142
P51843,DB00755
P51843,DB01234
P10912,DB00052
P10912,DB00082
Q9UDX3,DB00163
P00492,DB00993
P00492,DB01033
P28702,DB00210
P28702,DB00307
P28702,DB00412
P28702,DB00459
P28702,DB00523
P28702,DB00755
P28702,DB00799
P28702,DB01393
Q9Y600,DB00151
Q8IWU9,DB12095
P31358,DB00087
Q13639,DB00604
Q13639,DB00904
Q13639,DB01233
Q13639,DB06480
Q13639,DB08810
P02792,DB00893
P02792,DB09517
P42357,DB00117
Q02809,DB00126
Q02809,DB00139
P14618,DB00119
P14618,DB09130
Q12809,DB00176
Q12809,DB00199
Q12809,DB00204
Q12809,DB00276
Q12809,DB00280
Q12809,DB00308
Q12809,DB00346
Q12809,DB00455
Q12809,DB00457
Q12809,DB00458
Q12809,DB00472
Q12809,DB00477
Q12809,DB00489
Q12809,DB00537
Q12809,DB00590
Q12809,DB00604
Q12809,DB00637
Q12809,DB00661
Q12809,DB00675
Q12809,DB00908
Q12809,DB01026
Q12809,DB01035
Q12809,DB01074
Q12809,DB01100
Q12809,DB01110
Q12809,DB01118
Q12809,DB01136
Q12809,DB01142
Q12809,DB01149
Q12809,DB01162
Q12809,DB01182
Q12809,DB01195
Q12809,DB01211
Q12809,DB01218
Q12809,DB01244
Q12809,DB04855
Q12809,DB06144
Q12809,DB06217
Q969P6,DB00762
Q969P6,DB01030
P11229,DB00185
P11229,DB00202
P11229,DB00209
P11229,DB00215
P11229,DB00219
P11229,DB00245
P11229,DB00246
P11229,DB00280
P11229,DB00321
P11229,DB00332
P11229,DB00334
P11229,DB00340
P11229,DB00354
P11229,DB00363
P11229,DB00366
P11229,DB00376
P11229,DB00383
P11229,DB00387
P11229,DB00392
